2026-05-24 19:39:47 | INFO     | src.pipeline.run_expert_pipeline | ============================================================
2026-05-24 19:39:47 | INFO     | src.pipeline.run_expert_pipeline | EXPERT PIPELINE (Phase 5) — run=20260524_193947
2026-05-24 19:39:47 | INFO     | src.pipeline.run_expert_pipeline | ============================================================
2026-05-24 19:39:47 | INFO     | src.data.loader | Cargando dataset: /Users/miraekang/proyectos/ai-nlp/data/raw/youtoxic_english_1000.csv
2026-05-24 19:39:47 | INFO     | src.data.loader |   Shape: (1000, 15)
2026-05-24 19:39:47 | INFO     | src.data.loader |   Columnas validadas ✅
2026-05-24 19:39:47 | WARNING  | src.data.loader |   3 duplicados eliminados
2026-05-24 19:39:47 | INFO     | src.data.loader |   Toxicos: 459 (46.0%)
2026-05-24 19:39:47 | INFO     | src.pipeline.run_expert_pipeline | Augmentation EN→DE→EN (toxic only)
2026-05-24 19:39:47 | INFO     | src.features.augmentation | Back-translation: 312 toxic samples
2026-05-24 19:42:02 | INFO     | src.features.augmentation | Back-translation produced 295 samples
2026-05-24 19:42:08 | INFO     | src.features.augmentation | Dedup: kept 209/295 (dropped 86 with cosine > 0.95)
2026-05-24 19:42:08 | INFO     | src.features.augmentation | Train size after augmentation: 886 (+209)
2026-05-24 19:42:08 | INFO     | src.pipeline.run_expert_pipeline | LR-TFIDF (max_features=250) + gap search
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | Training stable LR — C=0.05
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | LR gap search — C=0.05 max_features=250 min_df=3 train_f1=0.7703 test_f1=0.6563 gap=0.1139
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | Training stable LR — C=0.03
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | LR gap search — C=0.03 max_features=250 min_df=5 train_f1=0.7572 test_f1=0.6563 gap=0.1008
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | Training stable LR — C=0.02
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | LR gap search — C=0.02 max_features=250 min_df=5 train_f1=0.7572 test_f1=0.6563 gap=0.1008
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | Training stable LR — C=0.01
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | LR gap search — C=0.01 max_features=250 min_df=8 train_f1=0.7570 test_f1=0.6563 gap=0.1006
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | Training stable LR — C=0.005
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | LR gap search — C=0.005 max_features=250 min_df=10 train_f1=0.7511 test_f1=0.6509 gap=0.1003
2026-05-24 19:42:08 | WARNING  | src.models.hybrid_ensemble | LR gap still 0.1003 after grid search; using best gap C=0.005
2026-05-24 19:42:08 | INFO     | src.models.hybrid_ensemble | Stable LR saved: /Users/miraekang/proyectos/ai-nlp/models/expert_lr_tfidf.joblib
2026-05-24 19:42:08 | INFO     | src.pipeline.run_expert_pipeline | Toxic-BERT — head-only fine-tune + val threshold tuning
2026-05-24 19:42:09 | INFO     | src.models.transformer_trainer | Head-only freeze — trainable 592,130/109,483,778 (0.54%)
2026-05-24 19:42:10 | INFO     | src.models.transformer_trainer | Training unitary/toxic-bert (head_only freeze)...
2026-05-24 19:42:31 | INFO     | src.models.transformer_trainer | Gap monitor — train_f1=0.7925 val_f1=0.6909 gap=0.1016
2026-05-24 19:42:49 | INFO     | src.models.transformer_trainer | Gap monitor — train_f1=0.7949 val_f1=0.6909 gap=0.1040
2026-05-24 19:43:09 | INFO     | src.models.transformer_trainer | Gap monitor — train_f1=0.7952 val_f1=0.6731 gap=0.1221
2026-05-24 19:43:29 | INFO     | src.models.transformer_trainer | Gap monitor — train_f1=0.7965 val_f1=0.6852 gap=0.1113
2026-05-24 19:43:29 | INFO     | src.models.transformer_trainer | Early stop: no f1_toxic improvement for 3 epochs
2026-05-24 19:43:31 | INFO     | src.models.transformer_trainer | Val threshold tuning — best_t=0.33 val_f1_toxic=0.7313
2026-05-24 19:43:51 | INFO     | src.pipeline.run_expert_pipeline | Expert report: /Users/miraekang/proyectos/ai-nlp/reports/expert/integrated_report_20260524_193947.md
2026-05-24 19:43:51 | INFO     | src.pipeline.run_expert_pipeline | ============================================================
2026-05-24 19:43:51 | INFO     | src.pipeline.run_expert_pipeline | Toxic-BERT-expert: F1-toxic=0.7489 ⚠️ | toxic gap=0.0418 ✅ | threshold=0.33
2026-05-24 19:43:51 | INFO     | src.pipeline.run_expert_pipeline | LR-TFIDF-expert: F1-toxic=0.6301 ⚠️ | toxic gap=0.0008 ✅ | threshold=0.05
2026-05-24 19:43:51 | INFO     | src.pipeline.run_expert_pipeline | Hybrid-ToxicBERT+LR: F1-toxic=0.7489 ⚠️ | toxic gap=0.0428 ✅ | threshold=0.38
2026-05-24 19:43:51 | INFO     | src.pipeline.run_expert_pipeline | ============================================================
2026-05-24 21:33:42 | INFO     | src.pipeline.run_golden_baseline_pipeline | ============================================================
