CommentId,VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism,char_length,word_count,n_labels,clean_text
Ugg2KwwX0V8-aXgCoAEC,04kJtp6pVXI,"If only people would just take a step back and not make this case about them, because it wasn't about anyone except the two people in that situation.  To lump yourself into this mess and take matters into your own hands makes these kinds of protests selfish and without rational thought and investigation.  The guy in this video is heavily emotional and hyped up and wants to be heard, and when he gets heard he just presses more and more.  He was never out to have a reasonable discussion.  Kudos to the Smerconish for keeping level the whole time and letting Masri make himself out to be a fool.  How dare he and those that tore that city down in protest make this about themselves and to dishonor the entire incident with their own hate.  By the way, since when did police brutality become an epidemic?  I wish everyone would just stop pretending like they were there and they knew EXACTLY what was going on, because there's no measurable amount of people that honestly witnessed this incident, so none of us have a clue on which way this whole issue should have swung.  The grand jury were the most informed, we have to trust the majority rule was the right course of action and let it be.  Also, thank you to the 99.999% of police officers in America that actually serve & protect, even if you're a bit of a jerk when you pull me over, I respect your job and know that someone has to do it and that many people are going to pout about being held accountable to their actions.  People hate police until they need an officer or two around in an emergency.",False,False,False,False,False,False,False,False,False,False,False,False,1558,287,0,people would take step back make case anyone except two people situation lump mess take matter hand make kind protest selfish without rational thought investigation guy heavily emotional hype want hear get hear press never reasonable discussion kudo smerconish keep level whole time let make fool dare tear city protest make dishonor entire incident hate way since police brutality become epidemic wish everyone would stop pretend know exactly go measurable amount people honestly witness incident none clue way whole issue swing grand jury inform trust majority rule right course action let also thank police officer america actually serve protect even bit jerk pull I respect job know someone many people go pout hold accountable action people hate police need officer two around emergency
Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,Law enforcement is not trained to shoot to apprehend.  They are trained to shoot to kill.  And I thank Wilson for killing that punk bitch.,True,True,False,False,False,False,False,False,False,False,False,False,138,25,1,law enforcement train shoot apprehend train shoot kill thank wilson kill punk bitch
Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,"
Dont you reckon them 'black lives matter' banners being held by white cunts is  kinda patronizing and ironically racist. could they have not come up with somethin better.. or is it just what white folks do to give them selves pride. 'ooo look at me im being nice for the black people' why does it always have to be about race actually the whole world is pussyfootin around for fear of being racist. its fuckin daft man.",True,True,False,False,True,False,False,False,False,False,False,False,420,77,2,reckon black life matter banner hold white cunt kinda patronizing ironically racist could come somethin well white folk give self pride ooo look I nice black people always race actually whole world pussyfootin around fear racist fuckin daft man
Ugg7Gd006w1MPngCoAEC,04kJtp6pVXI,"There are a very large number of people who do not like police officers. They are called Criminals and its the reason we have police officers. The fact that Criminals do not like police officers is a testament to the good work that police officers do in protecting the public. When our children or our family are in danger, we do not hessitate to call for help, and we call the Police. Its about time people stopped complaining and started to give the Police some respect for the hard work and dedication that often requires them to put their lives on the line, to serve the public.",False,False,False,False,False,False,False,False,False,False,False,False,582,107,0,large number people police officer call criminal reason police officer fact criminal police officer testament good work police officer protect public child family danger hessitate call help call police time people stop complain start give police respect hard work dedication often require put life line serve public
Ugg8FfTbbNF8IngCoAEC,04kJtp6pVXI,"The Arab dude is absolutely right, he should have not been shot 6 extra time. Shoot him once if hes attacking you and that would stop his attack. Shoot him twice if he's still attacking you, but six times? That is shoot to kill in my opinion. ",False,False,False,False,False,False,False,False,False,False,False,False,243,47,0,arab dude absolutely right shoot extra time shoot attack would stop attack shoot twice still attack six time shoot kill opinion
Ugg9a6FtoXdxmXgCoAEC,04kJtp6pVXI,here people his facebook is https://www.facebook.com/bassem.masri.520 he has ties with isis and other terrorist groups he is a muslim extremist ,True,False,False,False,False,True,False,False,False,False,True,False,144,20,1,people facebook tie isis terrorist group muslim extremist
Ugga9KzkNDGvlXgCoAEC,04kJtp6pVXI,"Check out this you tube post. ""Black man goes on an epic rant against Ferguson rioters.""

Although his message is delivered with childish, cartoon-ish emotions.... He is one of the very few African American's who gets it.",True,False,False,False,False,True,True,False,False,False,False,False,221,37,2,check tube post black man go epic rant rioter although message deliver childish cartoon ish emotion one african americans get
UggBlIXoph7p-3gCoAEC,04kJtp6pVXI,I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,True,True,False,False,True,True,True,False,False,False,False,False,300,57,4,would love see pussy go staten island spit cop would love see happen mike brown strong arm thug people burn eric garnier nothing wrong choke death protest mafia control staten island burn car nothing
UggD1aYSn7KOR3gCoAEC,04kJtp6pVXI,I agree with the protestor.,False,False,False,False,False,False,False,False,False,False,False,False,27,5,0,agree protestor
UggGm8a1fu8brngCoAEC,04kJtp6pVXI,mike browns father was made to say that boooshit,True,True,False,False,True,False,False,False,False,False,False,False,48,9,2,mike browns father make say boooshit
UggguNlx1Uu89HgCoAEC,04kJtp6pVXI,the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,True,True,False,False,True,False,False,False,False,False,False,False,219,43,2,guy right point judge speak ability judge messege racist fuck suck dick always medium focus thing matter cnn shit
UggHKcxZ-FvsJ3gCoAEC,04kJtp6pVXI,"moral of the story, don't reach for a cops gun because you're probably gunna get shot, white or black",False,False,False,False,False,False,False,False,False,False,False,False,101,19,0,moral story reach cops gun probably gunna get shoot white black
UggLbJp619j8BHgCoAEC,04kJtp6pVXI,Masri is about as close as you can get to ISIS in America.  ,True,True,False,False,False,False,False,False,False,False,False,False,60,13,1,close get isis america
UggMY2Oggks5LngCoAEC,04kJtp6pVXI,We all know with the chimpers there is no compassion in their mud pumping hearts. ,True,False,False,False,False,True,True,False,False,False,False,False,82,15,2,know chimper compassion mud pump heart
UggNrFQh7L5JuXgCoAEC,04kJtp6pVXI,"""I can believe whatever I wanna believe, I don't care what any of them have to say.""
Bassem Masri, you are an idiot.",True,True,False,False,False,False,False,False,False,False,False,False,116,23,1,believe whatever wanna believe care say bassem idiot
UggPT9Z38D5yt3gCoAEC,04kJtp6pVXI,Bassem Masri is a terrorist part of isis,True,False,False,False,False,True,False,False,False,False,True,False,40,8,1,bassem terrorist part isis
UggRCZiMOIRLg3gCoAEC,04kJtp6pVXI,I would'nt waist my time trying to reason with this Police spitting Thug.  Trying to defend Criminal Brown is a losing matter.  The Grand Jury has made they're decision.   Live with it.,True,True,False,True,False,False,False,False,False,False,False,False,185,32,2,would waist time try reason police spit thug try defend criminal brown lose matter grand jury make decision live
UggSYiWItbnmgngCoAEC,04kJtp6pVXI,"I wish mr masri was dead,,",True,True,False,False,False,False,False,False,False,False,False,False,26,6,1,wish mr dead
Uggt6lvUxwS-7XgCoAEC,04kJtp6pVXI,"Thus, with a collapse of the USA, only two possibilities can be considered, whereby, with the one, it boils down to a dictatorship with evil reprisals, while the other possibility may be a new reconstruction, if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start. But whether this will actually occur, is currently extremely questionable, because presently, in a totalitarian manner, everything is directed towards interests which are economic, military, political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious, misanthropic, criminal and felonious machinations in every imaginable regard. This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods, and so forth, and, in every possible manner being restricted in its freedom, and this is in addition to the violence, as it emerges in some form or other, both openly and covertly.﻿",False,False,False,False,False,False,False,False,False,False,False,False,1093,170,0,thus collapse usa two possibility consider whereby one boil dictatorship evil reprisal possibility may new reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable new start whether actually occur currently extremely questionable presently totalitarian manner everything direct towards interest economic military political cultural well towards strict fundamentalist religious sectarian base enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population usa spy upon secret service even severely within neighbourhood forth every possible manner restrict freedom addition violence emerge form openly covertly
Uggte-vb2ZLTQ3gCoAEC,04kJtp6pVXI,"You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager. ",True,True,False,False,True,False,False,False,False,False,False,False,539,94,2,actually shout fire crowded theater christopher hitchens demonstrate talk free speech look interviewee correct cop serve public way around consistent serve public police department represent public race ethnicity rank hire bunch big tough black guy police department black shoot death puny white guy feel humiliate get bitch slap teenager
UggtH27r-TTcZHgCoAEC,04kJtp6pVXI,"I think ,he kill him",True,True,False,False,False,False,False,False,False,False,False,False,20,5,1,think kill
UggtknH4gMWWfXgCoAEC,04kJtp6pVXI,LEGALIZE MARIJUANA! Then problems will stop,False,False,False,False,False,False,False,False,False,False,False,False,43,6,0,legalize marijuana problem stop
Ugg-ucO02B7XO3gCoAEC,04kJtp6pVXI,1 word: Provocateur........,False,False,False,False,False,False,False,False,False,False,False,False,27,3,0,word provocateur
UgguFITdgu455HgCoAEC,04kJtp6pVXI,Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. ,True,True,False,False,False,False,False,False,False,False,False,False,303,56,1,lol happen greedy rich slime keep mass uneducated ignorant deal stupid create try reason irrational exercise futility get popcorn ready bc boil fall talk fall walk
UggwBWh5il3cfXgCoAEC,04kJtp6pVXI,"The legal system is inherently racist, same as this CNN reporter",True,True,False,False,False,False,False,False,False,False,False,False,64,11,1,legal system inherently racist cnn reporter
UggWg1MBoBR7x3gCoAEC,04kJtp6pVXI,He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up...,True,False,False,False,False,True,False,False,False,False,True,False,182,39,1,look ready cut head must isis sympathizer go say maybe care issue hand want go loot store fuck shit
UggxCL2J1VOhLHgCoAEC,04kJtp6pVXI,"lol, ""shoot to apprehend"". He is an idiot.",True,True,False,False,False,False,False,False,False,False,False,False,42,8,1,lol shoot apprehend idiot
UggY2U73L3toO3gCoAEC,04kJtp6pVXI,"This case has overshadowed the cops that murdered a kid with a fake sword in Saratoga Springs, Utah. I am just as much outraged by the Mike brown case. The murder that happened in Utah was just about the same deal. Cops are provided with non lethal weapons. The shooting in Utah unwarranted because he ran, don't know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then. He ran and was shot 6 times in the back. We know a large group of cops are corrupt and these murderers are nothing new. Though I have ran from the police many times when I was in my teens, cops just pursue and find him hiding some where. Not just put 6 bullets in the back ending a life. They said in some paper, Saratoga Springs has about 5% of black population.. I have been through there and I would say they were off by about 5%. ",False,False,False,False,False,False,False,False,False,False,False,False,887,171,0,case overshadow cop murder kid fake sword saratoga springs utah much outraged mike brown case murder happen utah deal cop provide non lethal weapon shooting utah unwarranted run know run lunge police fake sword take opportunity immediate action right run shoot time back know large group cop corrupt murderer nothing new though run police many time teen cop pursue find hide put bullet back end life say paper saratoga spring black population would say
Uggy6MHKQWnfo3gCoAEC,04kJtp6pVXI,This man is a zionist jew look at ypu can see the jewnesss in his face  cnn only employ zionist sympathisers and neo-con racists and wolf blitzer is the emplpyeee ,True,False,False,False,False,True,True,False,False,False,False,False,163,30,2,man zionist jew look ypu see jewnesss face cnn employ zionist sympathiser neo con racist wolf blitzer emplpyeee
UggyCKjvUlfBYHgCoAEC,04kJtp6pVXI,"""There is blood on the street but you are worried about words"" .... we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending, irrelevant, distracting, disparaging narrative... Step up CNN",False,False,False,False,False,False,False,False,False,False,False,False,253,41,0,blood street worried word get tired way mainstream media treat idiot follow condescending irrelevant distract disparage narrative step cnn
UggYHsvinXkgM3gCoAEC,04kJtp6pVXI,"stop being criminals and you wont get shot, that simple",True,True,False,True,False,False,False,False,False,False,False,False,55,10,2,stop criminal get shoot simple
UggyJcZ89cWxUngCoAEC,04kJtp6pVXI,I LIKE TURTLES!,False,False,False,False,False,False,False,False,False,False,False,False,15,3,0,turtle
Ugh0tf8ZI_s6z3gCoAEC,04kJtp6pVXI,Massri needs an education.,True,True,False,False,False,False,False,False,False,False,False,False,26,4,1,massri need education
Ugh1YgMkYS1iingCoAEC,04kJtp6pVXI,CNN mother fuckers....fuck you peace of shit!,True,True,False,False,True,False,False,False,False,False,False,False,45,7,2,cnn mother fucker fuck peace shit
Ugh4DQdAIl3qUXgCoAEC,04kJtp6pVXI,"Hers my statement, I think ali sheep butt fucker masri should take an ak and go fight in syria..",True,True,False,True,True,True,True,False,False,False,False,False,96,19,5,statement think ali sheep butt fucker take ak go fight syria
Ugh6foWeFvORtXgCoAEC,04kJtp6pVXI,Hahahahaha.  This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,True,True,False,False,False,False,False,False,False,False,False,False,145,22,1,hahahahaha guy ed bassmaster character always teste ed bassmaster semi retarded character cross eyed guy
Ugh8Z3_R5r7iungCoAEC,04kJtp6pVXI,How do these childish cops sleep at night ?,False,False,False,False,False,False,False,False,False,False,False,False,43,9,0,childish cop sleep night
UghANuDr-RLrqXgCoAEC,04kJtp6pVXI,A completely idiot having his minutrs of fame,True,True,False,False,False,False,False,False,False,False,False,False,45,8,1,completely idiot minutrs fame
UghBkatZ4WY1uXgCoAEC,04kJtp6pVXI,I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you,True,True,False,False,False,False,False,False,False,False,False,False,120,24,1,hope god guy still fall ol banana tailpipe bullshit news give
UghBYihvgoUqcHgCoAEC,04kJtp6pVXI,CNN is such Bullcrap!,True,True,False,False,False,False,False,False,False,False,False,False,21,4,1,cnn bullcrap
UghcKD-yV_JR5XgCoAEC,04kJtp6pVXI,"Alright. This entire case is crap. All of these people who are saying that white people are being racist, and calling them bad names is just as ""racist"", as you would like to call it, as us. There have been extensive investigations that prove that this boy's death was out of self defense. However, I am not defending the whole KKK thing. But, I am defending the helpless citizens of Ferguson. This boy died. I don't care if he was white or black. What I do care about is how the people in Ferguson are treating their town. If they really cared about this incident, they would hold memorials to express their feelings.This is not helping themselves get justice. What really matters is that this boy is dead. Something HAS been done about it. The Grand Jury has decided. Can it just be over?",False,False,False,False,False,False,False,False,False,False,False,False,790,144,0,alright entire case crap people say white people racist call bad name racist would call extensive investigation prove boy death self defense however defend whole kkk thing defend helpless citizen boy die care white black care people treat town really care incident would hold memorial express feelings.thi help get justice really matter boy dead something grand jury decide
